corpus,clip_id,percorso,classe,contributore,eta,genere,autore,licenza,link_origine
fsd50k,420108,data/raw/fsd50k/FSD50K.dev_audio/420108.wav,,,,,14F_Panska_Dittrichova_Diana,CC0,https://freesound.org/s/420108/
fsd50k,428484,data/raw/fsd50k/FSD50K.dev_audio/428484.wav,,,,,sofi.om,CC BY,https://freesound.org/s/428484/
fsd50k,389695,data/raw/fsd50k/FSD50K.dev_audio/389695.wav,,,,,suspensiondigital,CC0,https://freesound.org/s/389695/
fsd50k,389690,data/raw/fsd50k/FSD50K.dev_audio/389690.wav,,,,,meggiepie,CC0,https://freesound.org/s/389690/
fsd50k,431628,data/raw/fsd50k/FSD50K.dev_audio/431628.wav,,,,,SieuAmThanh,CC0,https://freesound.org/s/431628/
fsd50k,431627,data/raw/fsd50k/FSD50K.dev_audio/431627.wav,,,,,Daen23,CC0,https://freesound.org/s/431627/
fsd50k,413485,data/raw/fsd50k/FSD50K.dev_audio/413485.wav,,,,,GRD-music-,CC0,https://freesound.org/s/413485/
fsd50k,413480,data/raw/fsd50k/FSD50K.dev_audio/413480.wav,,,,,GRD-music-,CC0,https://freesound.org/s/413480/
fsd50k,136859,data/raw/fsd50k/FSD50K.dev_audio/136859.wav,,,,,mitchelk,CC0,https://freesound.org/s/136859/
fsd50k,409742,data/raw/fsd50k/FSD50K.dev_audio/409742.wav,,,,,las98,CC0,https://freesound.org/s/409742/
fsd50k,409743,data/raw/fsd50k/FSD50K.dev_audio/409743.wav,,,,,las98,CC0,https://freesound.org/s/409743/
fsd50k,409740,data/raw/fsd50k/FSD50K.dev_audio/409740.wav,,,,,las98,CC0,https://freesound.org/s/409740/
fsd50k,408296,data/raw/fsd50k/FSD50K.dev_audio/408296.wav,,,,,vince2323,CC BY,https://freesound.org/s/408296/
fsd50k,408294,data/raw/fsd50k/FSD50K.dev_audio/408294.wav,,,,,vince2323,CC BY,https://freesound.org/s/408294/
fsd50k,402238,data/raw/fsd50k/FSD50K.dev_audio/402238.wav,,,,,s-cheremisinov,CC0,https://freesound.org/s/402238/
fsd50k,405020,data/raw/fsd50k/FSD50K.dev_audio/405020.wav,,,,,kyles,CC0,https://freesound.org/s/405020/
fsd50k,405029,data/raw/fsd50k/FSD50K.dev_audio/405029.wav,,,,,kyles,CC0,https://freesound.org/s/405029/
fsd50k,397651,data/raw/fsd50k/FSD50K.dev_audio/397651.wav,,,,,SieuAmThanh,CC0,https://freesound.org/s/397651/
fsd50k,397657,data/raw/fsd50k/FSD50K.dev_audio/397657.wav,,,,,SuperPhat,CC0,https://freesound.org/s/397657/
fsd50k,416680,data/raw/fsd50k/FSD50K.dev_audio/416680.wav,,,,,FunWithSound,CC0,https://freesound.org/s/416680/
fsd50k,416686,data/raw/fsd50k/FSD50K.dev_audio/416686.wav,,,,,FunWithSound,CC0,https://freesound.org/s/416686/
fsd50k,419503,data/raw/fsd50k/FSD50K.dev_audio/419503.wav,,,,,straget,CC BY,https://freesound.org/s/419503/
fsd50k,390864,data/raw/fsd50k/FSD50K.dev_audio/390864.wav,,,,,nickyg11p,CC0,https://freesound.org/s/390864/
fsd50k,404087,data/raw/fsd50k/FSD50K.dev_audio/404087.wav,,,,,davilcol,CC0,https://freesound.org/s/404087/
fsd50k,400504,data/raw/fsd50k/FSD50K.dev_audio/400504.wav,,,,,swordofkings128,CC0,https://freesound.org/s/400504/
fsd50k,411087,data/raw/fsd50k/FSD50K.dev_audio/411087.wav,,,,,jimsim,CC BY,https://freesound.org/s/411087/
fsd50k,411082,data/raw/fsd50k/FSD50K.dev_audio/411082.wav,,,,,Iceofdoom,CC BY,https://freesound.org/s/411082/
fsd50k,398738,data/raw/fsd50k/FSD50K.dev_audio/398738.wav,,,,,Anthousai,CC0,https://freesound.org/s/398738/
fsd50k,398739,data/raw/fsd50k/FSD50K.dev_audio/398739.wav,,,,,Anthousai,CC0,https://freesound.org/s/398739/
fsd50k,398734,data/raw/fsd50k/FSD50K.dev_audio/398734.wav,,,,,Anthousai,CC0,https://freesound.org/s/398734/
fsd50k,398736,data/raw/fsd50k/FSD50K.dev_audio/398736.wav,,,,,Anthousai,CC0,https://freesound.org/s/398736/
fsd50k,398737,data/raw/fsd50k/FSD50K.dev_audio/398737.wav,,,,,Anthousai,CC0,https://freesound.org/s/398737/
fsd50k,388478,data/raw/fsd50k/FSD50K.dev_audio/388478.wav,,,,,bbrocer,CC0,https://freesound.org/s/388478/
fsd50k,388479,data/raw/fsd50k/FSD50K.dev_audio/388479.wav,,,,,bbrocer,CC0,https://freesound.org/s/388479/
fsd50k,388477,data/raw/fsd50k/FSD50K.dev_audio/388477.wav,,,,,bbrocer,CC0,https://freesound.org/s/388477/
fsd50k,405842,data/raw/fsd50k/FSD50K.dev_audio/405842.wav,,,,,penetrermind,CC0,https://freesound.org/s/405842/
fsd50k,424317,data/raw/fsd50k/FSD50K.dev_audio/424317.wav,,,,,miksmusic,CC BY,https://freesound.org/s/424317/
fsd50k,414040,data/raw/fsd50k/FSD50K.dev_audio/414040.wav,,,,,florianreichelt,CC BY,https://freesound.org/s/414040/
fsd50k,59201,data/raw/fsd50k/FSD50K.dev_audio/59201.wav,,,,,dobroide,CC BY,https://freesound.org/s/59201/
fsd50k,426204,data/raw/fsd50k/FSD50K.dev_audio/426204.wav,,,,,kev_durr,CC BY,https://freesound.org/s/426204/
fsd50k,426205,data/raw/fsd50k/FSD50K.dev_audio/426205.wav,,,,,kev_durr,CC BY,https://freesound.org/s/426205/
fsd50k,426206,data/raw/fsd50k/FSD50K.dev_audio/426206.wav,,,,,kev_durr,CC BY,https://freesound.org/s/426206/
fsd50k,426207,data/raw/fsd50k/FSD50K.dev_audio/426207.wav,,,,,kev_durr,CC BY,https://freesound.org/s/426207/
fsd50k,426208,data/raw/fsd50k/FSD50K.dev_audio/426208.wav,,,,,kev_durr,CC BY,https://freesound.org/s/426208/
fsd50k,426209,data/raw/fsd50k/FSD50K.dev_audio/426209.wav,,,,,kev_durr,CC BY,https://freesound.org/s/426209/
fsd50k,387714,data/raw/fsd50k/FSD50K.dev_audio/387714.wav,,,,,Jagadamba,CC BY,https://freesound.org/s/387714/
fsd50k,413738,data/raw/fsd50k/FSD50K.dev_audio/413738.wav,,,,,klankbeeld,CC BY,https://freesound.org/s/413738/
fsd50k,423648,data/raw/fsd50k/FSD50K.dev_audio/423648.wav,,,,,greenvwbeetle,CC0,https://freesound.org/s/423648/
fsd50k,183599,data/raw/fsd50k/FSD50K.dev_audio/183599.wav,,,,,MaxDemianAGL,CC BY,https://freesound.org/s/183599/
fsd50k,386498,data/raw/fsd50k/FSD50K.dev_audio/386498.wav,,,,,iimck,CC BY,https://freesound.org/s/386498/
fsd50k,386496,data/raw/fsd50k/FSD50K.dev_audio/386496.wav,,,,,iimck,CC BY,https://freesound.org/s/386496/
fsd50k,386492,data/raw/fsd50k/FSD50K.dev_audio/386492.wav,,,,,iimck,CC BY,https://freesound.org/s/386492/
fsd50k,406255,data/raw/fsd50k/FSD50K.dev_audio/406255.wav,,,,,Anthousai,CC0,https://freesound.org/s/406255/
fsd50k,406257,data/raw/fsd50k/FSD50K.dev_audio/406257.wav,,,,,ChrisReierson,CC BY,https://freesound.org/s/406257/
fsd50k,406256,data/raw/fsd50k/FSD50K.dev_audio/406256.wav,,,,,ChrisReierson,CC BY,https://freesound.org/s/406256/
fsd50k,406251,data/raw/fsd50k/FSD50K.dev_audio/406251.wav,,,,,Anthousai,CC0,https://freesound.org/s/406251/
fsd50k,406250,data/raw/fsd50k/FSD50K.dev_audio/406250.wav,,,,,Anthousai,CC0,https://freesound.org/s/406250/
fsd50k,405787,data/raw/fsd50k/FSD50K.dev_audio/405787.wav,,,,,penetrermind,CC0,https://freesound.org/s/405787/
fsd50k,403555,data/raw/fsd50k/FSD50K.dev_audio/403555.wav,,,,,TheFlakesMaster,CC0,https://freesound.org/s/403555/
fsd50k,397449,data/raw/fsd50k/FSD50K.dev_audio/397449.wav,,,,,yotamorimoto,CC0,https://freesound.org/s/397449/
fsd50k,397448,data/raw/fsd50k/FSD50K.dev_audio/397448.wav,,,,,yotamorimoto,CC0,https://freesound.org/s/397448/
fsd50k,402204,data/raw/fsd50k/FSD50K.dev_audio/402204.wav,,,,,s-cheremisinov,CC0,https://freesound.org/s/402204/
fsd50k,402203,data/raw/fsd50k/FSD50K.dev_audio/402203.wav,,,,,s-cheremisinov,CC0,https://freesound.org/s/402203/
fsd50k,402209,data/raw/fsd50k/FSD50K.dev_audio/402209.wav,,,,,s-cheremisinov,CC0,https://freesound.org/s/402209/
fsd50k,410656,data/raw/fsd50k/FSD50K.dev_audio/410656.wav,,,,,pjcohen,CC BY,https://freesound.org/s/410656/
fsd50k,410657,data/raw/fsd50k/FSD50K.dev_audio/410657.wav,,,,,pjcohen,CC BY,https://freesound.org/s/410657/
fsd50k,396316,data/raw/fsd50k/FSD50K.dev_audio/396316.wav,,,,,morganpurkis,CC0,https://freesound.org/s/396316/
fsd50k,410655,data/raw/fsd50k/FSD50K.dev_audio/410655.wav,,,,,pjcohen,CC BY,https://freesound.org/s/410655/
fsd50k,410658,data/raw/fsd50k/FSD50K.dev_audio/410658.wav,,,,,pjcohen,CC BY,https://freesound.org/s/410658/
fsd50k,410659,data/raw/fsd50k/FSD50K.dev_audio/410659.wav,,,,,pjcohen,CC BY,https://freesound.org/s/410659/
fsd50k,388849,data/raw/fsd50k/FSD50K.dev_audio/388849.wav,,,,,envirOmaniac2,CC0,https://freesound.org/s/388849/
fsd50k,426040,data/raw/fsd50k/FSD50K.dev_audio/426040.wav,,,,,eardeer,CC BY,https://freesound.org/s/426040/
fsd50k,414629,data/raw/fsd50k/FSD50K.dev_audio/414629.wav,,,,,pjcohen,CC BY,https://freesound.org/s/414629/
fsd50k,417448,data/raw/fsd50k/FSD50K.dev_audio/417448.wav,,,,,Aiwha,CC BY,https://freesound.org/s/417448/
fsd50k,417449,data/raw/fsd50k/FSD50K.dev_audio/417449.wav,,,,,Aiwha,CC BY,https://freesound.org/s/417449/
fsd50k,415971,data/raw/fsd50k/FSD50K.dev_audio/415971.wav,,,,,Droeee,CC0,https://freesound.org/s/415971/
fsd50k,194429,data/raw/fsd50k/FSD50K.dev_audio/194429.wav,,,,,saphe,CC BY,https://freesound.org/s/194429/
fsd50k,423337,data/raw/fsd50k/FSD50K.dev_audio/423337.wav,,,,,greenvwbeetle,CC0,https://freesound.org/s/423337/
fsd50k,423336,data/raw/fsd50k/FSD50K.dev_audio/423336.wav,,,,,greenvwbeetle,CC0,https://freesound.org/s/423336/
fsd50k,423334,data/raw/fsd50k/FSD50K.dev_audio/423334.wav,,,,,greenvwbeetle,CC0,https://freesound.org/s/423334/
fsd50k,423331,data/raw/fsd50k/FSD50K.dev_audio/423331.wav,,,,,greenvwbeetle,CC0,https://freesound.org/s/423331/
fsd50k,423339,data/raw/fsd50k/FSD50K.dev_audio/423339.wav,,,,,greenvwbeetle,CC0,https://freesound.org/s/423339/
fsd50k,387524,data/raw/fsd50k/FSD50K.dev_audio/387524.wav,,,,,Dargeron,CC0,https://freesound.org/s/387524/
fsd50k,387522,data/raw/fsd50k/FSD50K.dev_audio/387522.wav,,,,,klankbeeld,CC BY,https://freesound.org/s/387522/
fsd50k,426907,data/raw/fsd50k/FSD50K.dev_audio/426907.wav,,,,,dersuperanton,CC BY,https://freesound.org/s/426907/
fsd50k,426906,data/raw/fsd50k/FSD50K.dev_audio/426906.wav,,,,,dersuperanton,CC BY,https://freesound.org/s/426906/
fsd50k,426908,data/raw/fsd50k/FSD50K.dev_audio/426908.wav,,,,,dersuperanton,CC BY,https://freesound.org/s/426908/
fsd50k,432996,data/raw/fsd50k/FSD50K.dev_audio/432996.wav,,,,,mattyharm,CC0,https://freesound.org/s/432996/
fsd50k,422815,data/raw/fsd50k/FSD50K.dev_audio/422815.wav,,,,,pinto0lucas,CC0,https://freesound.org/s/422815/
fsd50k,389693,data/raw/fsd50k/FSD50K.dev_audio/389693.wav,,,,,meggiepie,CC0,https://freesound.org/s/389693/
fsd50k,389692,data/raw/fsd50k/FSD50K.dev_audio/389692.wav,,,,,meggiepie,CC0,https://freesound.org/s/389692/
fsd50k,394558,data/raw/fsd50k/FSD50K.dev_audio/394558.wav,,,,,sijeh,CC0,https://freesound.org/s/394558/
fsd50k,386359,data/raw/fsd50k/FSD50K.dev_audio/386359.wav,,,,,ldezem,CC0,https://freesound.org/s/386359/
fsd50k,386358,data/raw/fsd50k/FSD50K.dev_audio/386358.wav,,,,,ldezem,CC0,https://freesound.org/s/386358/
fsd50k,398271,data/raw/fsd50k/FSD50K.dev_audio/398271.wav,,,,,InspectorJ,CC BY,https://freesound.org/s/398271/
fsd50k,418883,data/raw/fsd50k/FSD50K.dev_audio/418883.wav,,,,,madcowzack,CC0,https://freesound.org/s/418883/
fsd50k,350264,data/raw/fsd50k/FSD50K.dev_audio/350264.wav,,,,,RandomX45,CC BY,https://freesound.org/s/350264/
fsd50k,406428,data/raw/fsd50k/FSD50K.dev_audio/406428.wav,,,,,kretopi,CC0,https://freesound.org/s/406428/
fsd50k,406427,data/raw/fsd50k/FSD50K.dev_audio/406427.wav,,,,,kretopi,CC0,https://freesound.org/s/406427/
fsd50k,400115,data/raw/fsd50k/FSD50K.dev_audio/400115.wav,,,,,shnur_,CC0,https://freesound.org/s/400115/
fsd50k,400116,data/raw/fsd50k/FSD50K.dev_audio/400116.wav,,,,,shnur_,CC0,https://freesound.org/s/400116/
fsd50k,400112,data/raw/fsd50k/FSD50K.dev_audio/400112.wav,,,,,shnur_,CC0,https://freesound.org/s/400112/
fsd50k,400113,data/raw/fsd50k/FSD50K.dev_audio/400113.wav,,,,,shnur_,CC0,https://freesound.org/s/400113/
fsd50k,427296,data/raw/fsd50k/FSD50K.dev_audio/427296.wav,,,,,tmrobin1,CC0,https://freesound.org/s/427296/
fsd50k,427297,data/raw/fsd50k/FSD50K.dev_audio/427297.wav,,,,,tmrobin1,CC0,https://freesound.org/s/427297/
fsd50k,434252,data/raw/fsd50k/FSD50K.dev_audio/434252.wav,,,,,Parasonya,CC BY,https://freesound.org/s/434252/
fsd50k,434253,data/raw/fsd50k/FSD50K.dev_audio/434253.wav,,,,,Parasonya,CC BY,https://freesound.org/s/434253/
fsd50k,56974,data/raw/fsd50k/FSD50K.dev_audio/56974.wav,,,,,NoiseCollector,CC BY,https://freesound.org/s/56974/
fsd50k,90988,data/raw/fsd50k/FSD50K.dev_audio/90988.wav,,,,,Suicidity,CC0,https://freesound.org/s/90988/
fsd50k,418699,data/raw/fsd50k/FSD50K.dev_audio/418699.wav,,,,,Tiren,CC0,https://freesound.org/s/418699/
fsd50k,417410,data/raw/fsd50k/FSD50K.dev_audio/417410.wav,,,,,TheScarlettWitch89,CC BY,https://freesound.org/s/417410/
fsd50k,416695,data/raw/fsd50k/FSD50K.dev_audio/416695.wav,,,,,FunWithSound,CC0,https://freesound.org/s/416695/
fsd50k,416691,data/raw/fsd50k/FSD50K.dev_audio/416691.wav,,,,,FunWithSound,CC0,https://freesound.org/s/416691/
fsd50k,416692,data/raw/fsd50k/FSD50K.dev_audio/416692.wav,,,,,FunWithSound,CC0,https://freesound.org/s/416692/
fsd50k,416698,data/raw/fsd50k/FSD50K.dev_audio/416698.wav,,,,,FunWithSound,CC0,https://freesound.org/s/416698/
fsd50k,390448,data/raw/fsd50k/FSD50K.dev_audio/390448.wav,,,,,ChrisReierson,CC0,https://freesound.org/s/390448/
fsd50k,416699,data/raw/fsd50k/FSD50K.dev_audio/416699.wav,,,,,FunWithSound,CC0,https://freesound.org/s/416699/
fsd50k,334434,data/raw/fsd50k/FSD50K.dev_audio/334434.wav,,,,,ebcrosby,CC BY,https://freesound.org/s/334434/
fsd50k,399089,data/raw/fsd50k/FSD50K.dev_audio/399089.wav,,,,,rwan0731,CC0,https://freesound.org/s/399089/
fsd50k,394103,data/raw/fsd50k/FSD50K.dev_audio/394103.wav,,,,,deleted_user_6479820,CC0,https://freesound.org/s/394103/
fsd50k,409741,data/raw/fsd50k/FSD50K.dev_audio/409741.wav,,,,,las98,CC0,https://freesound.org/s/409741/
fsd50k,393454,data/raw/fsd50k/FSD50K.dev_audio/393454.wav,,,,,rafaelawho,CC0,https://freesound.org/s/393454/
fsd50k,393455,data/raw/fsd50k/FSD50K.dev_audio/393455.wav,,,,,rafaelawho,CC0,https://freesound.org/s/393455/
fsd50k,393456,data/raw/fsd50k/FSD50K.dev_audio/393456.wav,,,,,rafaelawho,CC0,https://freesound.org/s/393456/
fsd50k,393457,data/raw/fsd50k/FSD50K.dev_audio/393457.wav,,,,,rafaelawho,CC0,https://freesound.org/s/393457/
fsd50k,409747,data/raw/fsd50k/FSD50K.dev_audio/409747.wav,,,,,las98,CC0,https://freesound.org/s/409747/
fsd50k,431156,data/raw/fsd50k/FSD50K.dev_audio/431156.wav,,,,,_Stregone_,CC0,https://freesound.org/s/431156/
fsd50k,418156,data/raw/fsd50k/FSD50K.dev_audio/418156.wav,,,,,14FPanskaZummer_Jakub,CC0,https://freesound.org/s/418156/
fsd50k,429150,data/raw/fsd50k/FSD50K.dev_audio/429150.wav,,,,,freemaster2,CC BY,https://freesound.org/s/429150/
fsd50k,409435,data/raw/fsd50k/FSD50K.dev_audio/409435.wav,,,,,dwengomes,CC0,https://freesound.org/s/409435/
fsd50k,386238,data/raw/fsd50k/FSD50K.dev_audio/386238.wav,,,,,ldezem,CC0,https://freesound.org/s/386238/
fsd50k,386239,data/raw/fsd50k/FSD50K.dev_audio/386239.wav,,,,,ldezem,CC0,https://freesound.org/s/386239/
fsd50k,422498,data/raw/fsd50k/FSD50K.dev_audio/422498.wav,,,,,Nightflame,CC BY,https://freesound.org/s/422498/
fsd50k,434269,data/raw/fsd50k/FSD50K.dev_audio/434269.wav,,,,,Parasonya,CC BY,https://freesound.org/s/434269/
fsd50k,434263,data/raw/fsd50k/FSD50K.dev_audio/434263.wav,,,,,Parasonya,CC BY,https://freesound.org/s/434263/
fsd50k,434262,data/raw/fsd50k/FSD50K.dev_audio/434262.wav,,,,,Parasonya,CC BY,https://freesound.org/s/434262/
fsd50k,434268,data/raw/fsd50k/FSD50K.dev_audio/434268.wav,,,,,Parasonya,CC BY,https://freesound.org/s/434268/
fsd50k,429148,data/raw/fsd50k/FSD50K.dev_audio/429148.wav,,,,,cazadordoblekatana,CC0,https://freesound.org/s/429148/
fsd50k,385929,data/raw/fsd50k/FSD50K.dev_audio/385929.wav,,,,,Pól,CC0,https://freesound.org/s/385929/
fsd50k,410832,data/raw/fsd50k/FSD50K.dev_audio/410832.wav,,,,,univ_lyon3,CC BY,https://freesound.org/s/410832/
fsd50k,95332,data/raw/fsd50k/FSD50K.dev_audio/95332.wav,,,,,ramas26,CC0,https://freesound.org/s/95332/
fsd50k,148915,data/raw/fsd50k/FSD50K.dev_audio/148915.wav,,,,,Cavernstones,CC0,https://freesound.org/s/148915/
fsd50k,419329,data/raw/fsd50k/FSD50K.dev_audio/419329.wav,,,,,TheScarlettWitch89,CC BY,https://freesound.org/s/419329/
fsd50k,419328,data/raw/fsd50k/FSD50K.dev_audio/419328.wav,,,,,TheScarlettWitch89,CC BY,https://freesound.org/s/419328/
fsd50k,419327,data/raw/fsd50k/FSD50K.dev_audio/419327.wav,,,,,TheScarlettWitch89,CC BY,https://freesound.org/s/419327/
fsd50k,419326,data/raw/fsd50k/FSD50K.dev_audio/419326.wav,,,,,TheScarlettWitch89,CC BY,https://freesound.org/s/419326/
fsd50k,419320,data/raw/fsd50k/FSD50K.dev_audio/419320.wav,,,,,theuncertainman,CC BY,https://freesound.org/s/419320/
fsd50k,398809,data/raw/fsd50k/FSD50K.dev_audio/398809.wav,,,,,Anthousai,CC0,https://freesound.org/s/398809/
fsd50k,411574,data/raw/fsd50k/FSD50K.dev_audio/411574.wav,,,,,InspectorJ,CC BY,https://freesound.org/s/411574/
fsd50k,411575,data/raw/fsd50k/FSD50K.dev_audio/411575.wav,,,,,InspectorJ,CC BY,https://freesound.org/s/411575/
fsd50k,411576,data/raw/fsd50k/FSD50K.dev_audio/411576.wav,,,,,InspectorJ,CC BY,https://freesound.org/s/411576/
fsd50k,398944,data/raw/fsd50k/FSD50K.dev_audio/398944.wav,,,,,carroll27,CC0,https://freesound.org/s/398944/
fsd50k,387958,data/raw/fsd50k/FSD50K.dev_audio/387958.wav,,,,,giddster,CC0,https://freesound.org/s/387958/
fsd50k,387954,data/raw/fsd50k/FSD50K.dev_audio/387954.wav,,,,,giddster,CC0,https://freesound.org/s/387954/
fsd50k,387955,data/raw/fsd50k/FSD50K.dev_audio/387955.wav,,,,,giddster,CC0,https://freesound.org/s/387955/
fsd50k,387957,data/raw/fsd50k/FSD50K.dev_audio/387957.wav,,,,,giddster,CC0,https://freesound.org/s/387957/
fsd50k,400702,data/raw/fsd50k/FSD50K.dev_audio/400702.wav,,,,,ohmypro,CC0,https://freesound.org/s/400702/
fsd50k,418153,data/raw/fsd50k/FSD50K.dev_audio/418153.wav,,,,,14FPanskaZummer_Jakub,CC0,https://freesound.org/s/418153/
fsd50k,421882,data/raw/fsd50k/FSD50K.dev_audio/421882.wav,,,,,GregorQuendel,CC BY,https://freesound.org/s/421882/
fsd50k,421881,data/raw/fsd50k/FSD50K.dev_audio/421881.wav,,,,,GregorQuendel,CC BY,https://freesound.org/s/421881/
fsd50k,410762,data/raw/fsd50k/FSD50K.dev_audio/410762.wav,,,,,univ_lyon3,CC BY,https://freesound.org/s/410762/
fsd50k,410763,data/raw/fsd50k/FSD50K.dev_audio/410763.wav,,,,,univ_lyon3,CC BY,https://freesound.org/s/410763/
fsd50k,410761,data/raw/fsd50k/FSD50K.dev_audio/410761.wav,,,,,univ_lyon3,CC BY,https://freesound.org/s/410761/
fsd50k,416085,data/raw/fsd50k/FSD50K.dev_audio/416085.wav,,,,,penetrermind,CC0,https://freesound.org/s/416085/
fsd50k,433960,data/raw/fsd50k/FSD50K.dev_audio/433960.wav,,,,,marceltavars,CC0,https://freesound.org/s/433960/
fsd50k,19159,data/raw/fsd50k/FSD50K.dev_audio/19159.wav,,,,,Fratz,CC BY,https://freesound.org/s/19159/
fsd50k,413220,data/raw/fsd50k/FSD50K.dev_audio/413220.wav,,,,,ihitokage,CC0,https://freesound.org/s/413220/
fsd50k,417936,data/raw/fsd50k/FSD50K.dev_audio/417936.wav,,,,,TheScarlettWitch89,CC BY,https://freesound.org/s/417936/
fsd50k,417935,data/raw/fsd50k/FSD50K.dev_audio/417935.wav,,,,,TheScarlettWitch89,CC BY,https://freesound.org/s/417935/
fsd50k,417688,data/raw/fsd50k/FSD50K.dev_audio/417688.wav,,,,,SuperPhat,CC0,https://freesound.org/s/417688/
fsd50k,417689,data/raw/fsd50k/FSD50K.dev_audio/417689.wav,,,,,SuperPhat,CC0,https://freesound.org/s/417689/
fsd50k,417686,data/raw/fsd50k/FSD50K.dev_audio/417686.wav,,,,,SuperPhat,CC0,https://freesound.org/s/417686/
fsd50k,399761,data/raw/fsd50k/FSD50K.dev_audio/399761.wav,,,,,tehteho,CC0,https://freesound.org/s/399761/
fsd50k,399763,data/raw/fsd50k/FSD50K.dev_audio/399763.wav,,,,,tehteho,CC0,https://freesound.org/s/399763/
fsd50k,399764,data/raw/fsd50k/FSD50K.dev_audio/399764.wav,,,,,tehteho,CC0,https://freesound.org/s/399764/
fsd50k,399765,data/raw/fsd50k/FSD50K.dev_audio/399765.wav,,,,,tehteho,CC0,https://freesound.org/s/399765/
fsd50k,399766,data/raw/fsd50k/FSD50K.dev_audio/399766.wav,,,,,tehteho,CC0,https://freesound.org/s/399766/
fsd50k,399767,data/raw/fsd50k/FSD50K.dev_audio/399767.wav,,,,,tehteho,CC0,https://freesound.org/s/399767/
fsd50k,399768,data/raw/fsd50k/FSD50K.dev_audio/399768.wav,,,,,tehteho,CC0,https://freesound.org/s/399768/
fsd50k,399769,data/raw/fsd50k/FSD50K.dev_audio/399769.wav,,,,,tehteho,CC0,https://freesound.org/s/399769/
fsd50k,394732,data/raw/fsd50k/FSD50K.dev_audio/394732.wav,,,,,inseedee,CC0,https://freesound.org/s/394732/
fsd50k,414799,data/raw/fsd50k/FSD50K.dev_audio/414799.wav,,,,,GRD-music-,CC0,https://freesound.org/s/414799/
fsd50k,414795,data/raw/fsd50k/FSD50K.dev_audio/414795.wav,,,,,GRD-music-,CC0,https://freesound.org/s/414795/
